trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",25,15,-4.142097675250838,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",25,2,21.80531343062247,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",30,0,-28.465079271389147,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",30,2,34.274829644418055,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",20,15,-34.17712301311712,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.173989828476264}",25,7,-18.816085319739013,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",30,0,44.6084408837854,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",25,11,7.778793878908274,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",35,11,-79.49831841085883,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 2}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,11,20.574612670023928,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",25,13,13.454929775031571,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,4,23.387013587820164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",20,10,20.536976753407053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",20,0,29.9635109052368,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",30,13,27.896942131011613,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",20,9,9.378924963072395,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",25,7,23.216025657995896,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1542219517938446}",20,13,13.201771952306236,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",30,19,18.42858898813335,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",25,9,-14.795528448501226,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",25,8,27.16935804171036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",20,1,27.681247064818425,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",25,8,19.29752698075119,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",25,0,-56.94055967058995,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",25,14,-11.56592634713603,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",20,0,18.019061163571056,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",25,14,11.84552446525791,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.139475568775225}",25,9,31.17510404638982,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",20,0,-77.36595462617201,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
198,False,"{'a': 0.5, 'e': 0.136700004956598}",20,3,-21.109622456892524,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703204}",30,11,-25.353597478013345,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796172}",25,19,10.463658914400712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.1326398781093821}",20,6,23.57018197562629,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13131347932828827}",25,0,29.57023523345477,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
